Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A9_1_22178.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A10_1_22179.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A11_1_22180.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A12_1_22181.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B1_1_22182.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B2_1_22183.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B3_1_22184.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B4_1_22185.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B1_1_22186.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B2_1_22187.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B3_1_22188.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B4_1_22189.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A5_1_22174.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A6_1_22175.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A7_1_22176.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A8_1_22177.d
Q4V8Z6	Q4V8Z6_DANRE	sec62		43694	34072.9	39812.8	37471.9	36526.8	39893.4	36466.2	39960.7	28240.2	32863.4	44566.3	39567.3	45950.2	50583.5	27931.4	23570.2
Q4V902	Q4V902_DANRE	gnsa		40592.6	38518.1	35571.8	32945.4	31164.7	27530.6	36529.8	31043.5	20625.8	22814.8	39810.4	39531.2	40013	38928.2	29308.3	28337.9
Q4V914	Q4V914_DANRE	macroh2a2		871294	915496	1.01204e+06	1.05212e+06	982594	1.03793e+06	932732	941452	1.13794e+06	1.10582e+06	834118	873005	760925	813911	1.25255e+06	1.4512e+06
Q4V916	Q4V916_DANRE	fdps		104898	112432	115132	106492	112065	97209.7	122664	124307	110494	99744.5	102644	104238	100142	95229.2	121508	113566
Q4V918	Q4V918_DANRE	psma3		385518	383360	395697	399060	401262	374687	397574	362220	321418	332373	390099	393154	426954	426436	383338	387951
Q4V920	PACN1_DANRE	pacsin1b		11454.2	14006.2	11553.4	13282.9	12338.3	8877.24	10287.6	14531.2		14763.9	13335.5	14167.1	14395.5	12585.1	10482.5	13213.1
Q4V942	Q4V942_DANRE	g3bp2b		50776.9	51209.6	41397.1	36857.6	48661.3	41070.4	61966	59778.3	42593.7	47697	67262.4	67910.8	74850.2	77426.5	37744.5	35935.2
Q4V946	Q4V946_DANRE	rabggtb		48856	44602.2	43411.3	44605.7	39103.9	34259.3	44313.3	39363.6	34416	39364.5	47677.7	51767.3	53030.5	54305.1	35353.1	29860.2
Q4V947	Q4V947_DANRE	map2k1		286891	228660	262342	190397	212907		226005	222714	297074	267258	279709	241239	193657	193537	306448	326374
Q4V966	Q4V966_DANRE	septin7a		28916.9	30627.4	30350.7	29836.1	32431.7	26892.7	29454.4	25771.2	39512.8	28369.6	31363.4	30702.1	32172	33540.2	28878.7	28840.7
Q4V984	Q4V984_DANRE	rab1bb		22578.6	30528	34180.8	32925.4	39229.7	44724.2	34525.2	32282.3	47706.1	50756.4	42081.5	36585.8	32074.5	62352.2	33754.6	41808.6
Q4V9A4	Q4V9A4_DANRE	neu3.2		24867.2	25570.5	27049.8	25516.1	24554.3	23736.6	26366.9	24602.5	19930	16932.7	27773.8	28610	26232.1	27551.9	36996.8	36290.5
Q4V9B9	Q4V9B9_DANRE	pak2b		15350.1	17311.8	17138	11523.6	21224	18225.6		13980.3	11407.6	18489.7			24541.6	16348.5	18757.8	
Q4V9C0	Q4V9C0_DANRE	si:busm1-57f23.1		27457.6	22198.1	26702.4	25300.3	28435.9	30710.4	23575.7	20460		23973.7		18280.4	21182.6	24788.8	18683.1	20512.4
Q4V9D6	Q4V9D6_DANRE	zgc:113828						32757.8	30154	24951.1	23727.6	15262.4	15573.4	32973.8	33824.8	15304.1	14129.9		
Q4V9E0	Q4V9E0_DANRE	fmoda		78758.1	92596.2													58215.9	56851.5
Q4V9F5	Q4V9F5_DANRE	bloc1s5		20936	15489.1	19385.7	16108.3	18409.1	21955.5	15798.3	20693.8		24921.3	16330.3	19450.1	21485		28437.4	24290.7
Q4V9H6	Q4V9H6_DANRE	fam210b		35576.8	39911.4	38763.7	39259.8	38818.9	43961.8	34778.9	39820.4	33221	56718.2	26716.3	32370.3	20030.4	19219.6	47568.1	43811.5
Q4V9I5	Q4V9I5_DANRE	srp14		15608.7	16160.1	19220	18050.7	21849.1	19442.8	18803	18165.4	35054.3	39423.4		18174.6	21479.1		29634.5	31657.4
Q4V9K2	Q4V9K2_DANRE	fgd		14002.8	14063.2	13986.1	8632.81		15469.7	13429	11570.8	10119.3	15897.8	13797.7	16626.2	13706.5	10346.6		22044.3
Q4V9N1	Q4V9N1_DANRE	tsn		106074	93844.2	95827.6	86993.7	90178.9	85751.9	93009.4	97826.5	79216.9	81448.3	109066	105688	115718	117654	96164.5	96478.7
Q4V9N9	Q4V9N9_DANRE	eif1axb		152718	153364	150573	145202	148505	142341	143615	142602	94219.5	110469	109422	106614	115087	124843	127771	119274
Q4V9P2	Q4V9P2_DANRE	qrich1			12175.2	13817.2	18871	8019.85	14948.3	9998.91	8682.83	18050.7	14130.7		9402.62		5137.35	21393.5	19843.7
Q4VBH5	Q4VBH5_DANRE	gna13a		33001.7	36719	36395.1	32248.4	38744.1	35800.3	35036.6	38797.4	46107.7	41882.8	33365.6	31035.3	38715.7	36254.8	36454.2	39528.5
Q4VBH6	Q4VBH6_DANRE	anxa13l		142959	136523	81430.1	77819.6	122199	123382	97242.5	94437.8	77503.6	82792.9	96407.1	100009	124871	127320	81540.6	90766.8
Q4VBI2	IR3IP_DANRE	ier3ip1		191648	185571	235783	293892	262974	283156	295848	264045	309604	295292	225138	222578	135824	139157	194632	251312
Q4VBI5	Q4VBI5_DANRE	ndufa2		624230	582641	633666	635892	668910	642781	700877	667021	787586	677448	756134	739052	788460	740641	509872	533961
Q4VBI6	Q4VBI6_DANRE	tubb2		434439	543842	422789	556899	383434	451110	442108	407719	669473	831216	425898	288308	451176	599787	851741	1.16252e+06
Q4VBR6	Q4VBR6_DANRE	bcap29		21685.2		28309.2	25478.5	21632.7	25606.3	25899				15743.4		21673.3	14004.6	17042.1	
Q4VBR7	Q4VBR7_DANRE	nmt1a		62057.9	55765	66506.2	64617.9	68732.2	66591.9	64550.9	62958	62876.5	63454	57383.7	57222	72360.7	73684.2	57009.9	58337.7
Q4VBR8	Q4VBR8_DANRE	psma2a		10270.2	15034.9	12976.4	15530.8	16983.1	15322.1	21191.7	19501.3		13521	8846.58	13352.5	10007.9	10955.4	17929.8	13813.6
Q4VBU0	Q4VBU0_DANRE	bckdha		134221	131357	121159	130364	120339	129578	122463	116947	155745	172056	143546	141109	111864	128925	142483	154792
Q4VBU5	Q4VBU5_DANRE	polr2j		20459.2	23147.3	19358.2	20127.7	16192	17500.9	25530.4	23905	10744.6	15702.5	23446	21435.4	22403.1	23263.4	15076.9	13372.5
Q4VBU7	Q4VBU7_DANRE	cox5aa		290790	338021	331079	316453	324399	333320	351822	370224	302745	362625	200777	217975	159824	217649	309403	317137
Q4VBV0	Q4VBV0_DANRE	wdfy1		62588.3	64867.9	65780.1	66104.7	69258.5	65223	70668.8	65721.1	63281.2	66944.7	62482	59831.8	60786.5	54721.9	63122.8	55700
Q4VBV1	Q4VBV1_DANRE	uqcrb		492089	523920	439292	440981	498470	495422	521411	513176	508557	598598	426317	444591	517478	514109	516490	555525
Q4VBV2	Q4VBV2_DANRE	rps27.1		1.98335e+06	2.12402e+06	2.553e+06	2.45015e+06	2.06856e+06	2.0839e+06	1.95331e+06	1.88872e+06	2.87637e+06	2.25449e+06	2.1093e+06	2.0971e+06	2.37042e+06	2.25389e+06	2.23718e+06	2.69158e+06
Q4VBV9	NIT2_DANRE	nit2		97453.7	110175	90051.4	92737.8	61316.2	62005.7	79348	78192.1	117232	139213	70014.6	58464.6	96888.2	119206	98136.4	113838
Q4VBW0	MTX3_DANRE	mtx3		8322.25	6867.15	9057.14	8450.19	12979.2	7755.97	6921.62	8890.12		12378.3	11219.7	9340.69	8639.88			
Q502B2	Q502B2_DANRE	vkorc1l1		6750.31	6817.87	7200.2	8513.69	9411.79	8601.36			16116.8	13780.4	7004.81	6894.1	5361.15	5182.03	14203.7	21166.7
Q502B7	Q502B7_DANRE	mcee		62998.4	72242.4	67522.3	69358.1	69132.1	76472.3	74667.8	83355.1	63605.2	91867.6	45403.4	64092.3	59451.7	57653.9	80155.2	81173.3
Q502B9	Q502B9_DANRE	clpp		38168.6	36386.6	37567.4	44997.9	33983	43924	31970.1	36217.4	44534.6	39156.6	40262.3	35167.7	34896.4	36604.5	44256.6	49017.1
Q502C0	Q502C0_DANRE	zgc:112332		19580.1	23282.3	26470.1	19229.8	20583.9	20110.5	15927.1	22382.4	13475.6	13963.5	20078.1	21255.4	25041.6	21906.9	25163.4	24557.6
Q502C6	Q502C6_DANRE	pde6ga		251113	243104	288255	273694	277858	271303	286185	242418	138173	286688	280122	366636	487478	487030	364607	386645
Q502C8	Q502C8_DANRE	prdx5		619834	708732	736350	769995	790758	911087	693698	771617	1.00234e+06	987878	620524	591264	370208	392781	912385	1.10251e+06
Q502E4	Q502E4_DANRE	ndufs4		203993	199594	221479	214324	214322	222128	215244	217427	201122	230390	264789	252379	236080	230039	163534	144152
Q502F6	Q502F6_DANRE	zgc:112271		22297.2	23759.6	25761.7	33170.7	27009.7	31052.8	23970.9	31739.2		22591.5	25097.1	24846.2	23772.5	24293.9	34948	34034.9
Q502G6	Q502G6_DANRE	sptlc1		18366.2	17100.5	22227.9	23807	22959.5	26324.6	20268.1	21703	13018.4	20825	19006.8	21765.7	15824.6	15424.2	31930.6	33543.5
Q502I9	FCHO2_DANRE	fcho2		21080		11934	14370.1	11590.4	14000.6		10513.5		13701.9				11329.3	17570.4	12918.3
